Feature,Importance
weekend_logins,0.18973668464914328
after_hours_logins,0.12273549260787053
http_visit_count,0.12161853438801636
email_sent,0.09675088379584677
unique_files,0.07259453160505841
connect_count,0.055351338862949885
external_emails,0.04915037844089031
file_access_count,0.04336651323346869
device_usage_count,0.04183151950889596
weekend_http,0.03669598730118118
disconnect_count,0.02433655101299835
after_hours_http,0.02359889497609022
login_count,0.02312788495043554
unique_pc_count,0.01930458253411953
unique_websites,0.017259439575649956
after_hours_file_access,0.01649935523517664
weekend_file_access,0.015383167478577783
after_hours_emails,0.012141148256741716
weekend_device_usage,0.009757251506575453
after_hours_device_usage,0.008759860080313455
unique_http_pcs,0.0
