Feature,Importance
usb_total_activity,0.11794869728811565
max_daily_file_copy,0.1048431838051177
usb_connect_ratio,0.09692399821051649
file_copy_count,0.09363359426405445
usb_connect_count,0.09038460538042253
usb_disconnect_count,0.08741515047709014
logoff_count,0.07749627062983624
avg_daily_file_copy,0.06975512009171776
pc_switching_frequency,0.041633523897344225
night_login_count,0.041386487192379896
login_count,0.035790172630908404
night_login_ratio,0.0319005531342821
email_sent_count,0.020382806530279362
unique_pc_count,0.02007765850294172
website_visit_count,0.01501516564663935
external_email_count,0.008259899182354308
avg_daily_web_activity,0.007286082733188106
department,0.007165257251313542
avg_attachment_count,0.005360871187122435
weekend_login_ratio,0.0049255268227196905
weekend_login_count,0.004459672368390415
role,0.003185529808156765
A,0.002942867874687562
external_email_ratio,0.002408972921648209
O,0.0022149810628375325
E,0.0020102499080400706
C,0.0015485591266967181
N,0.0013681670114922117
unique_domain_count,0.0012051015258054338
avg_email_size,0.0010712735339009685
