,count,mean,std,min,25%,50%,75%,max
Isolation Forest_Score,1000.0,0.43673907724962474,0.05902053863729069,0.3637129021477804,0.39323015875945605,0.414533458884496,0.46725151455617064,0.717708366939492
One-Class SVM_Score,1000.0,-1.4296833474313084,0.20857169454835423,-2.000114311081951,-1.5816366475823462,-1.4317362565324712,-1.2707069326420115,-1.051679118500412
LOF_Score,1000.0,1.0835553320228017,0.1260725012453132,0.9551446851014882,1.0017442258637461,1.0398592177370818,1.1185607048993917,2.153406459090189
Elliptic Envelope_Score,1000.0,33317.66204590984,159635.44291499772,4.079519132694156,12.53183994435729,20.25989774188509,719.7562358511049,1261057.9349745752
PCA_Score,1000.0,0.03707534835823174,0.0918714307351043,0.000553119263988606,0.007163457071712645,0.014635993831581104,0.02956292153643272,0.9682145399853369
DBSCAN_Score,1000.0,0.139,0.3461196307619647,0.0,0.0,0.0,0.0,1.0
KMeans_Score,1000.0,3.4758816619132364,1.2581911539326383,1.1107930137374893,2.6712672839308684,3.13677996039451,4.001905246818002,14.053861469970808
