Model,Suspicious Employees,Average Risk Score,Maximum Risk Score,Minimum Risk Score,Training Time (sec)
DBSCAN,139,0.139,1.0,0.0,0.03
One-Class SVM,62,-1.4296833474313084,-1.051679118500412,-2.000114311081951,0.02
Isolation Forest,30,0.4367390772496247,0.717708366939492,0.3637129021477804,0.75
Elliptic Envelope,30,33317.66204590984,1261057.9349745752,4.079519132694156,0.43
PCA,30,0.0370753483582317,0.9682145399853368,0.0005531192639886,0.01
KMeans,30,3.4758816619132364,14.053861469970808,1.1107930137374893,0.17
LOF,25,1.0835553320228015,2.153406459090189,0.9551446851014882,2.17
